position_id,role_id
VAC_0001,ROLE_MARKETING_JUNIOR
VAC_0002,ROLE_FINANCE_JUNIOR
VAC_0003,ROLE_R&D_SENIOR
VAC_0004,ROLE_LOGISTICS_JUNIOR
VAC_0005,ROLE_MARKETING_SENIOR
VAC_0006,ROLE_IT_JUNIOR
VAC_0007,ROLE_IT_SPECIALIST
VAC_0008,ROLE_IT_SPECIALIST
VAC_0009,ROLE_RISK & COMPLIANCE_SPECIALIST
VAC_0010,ROLE_MARKETING_SENIOR
VAC_0011,ROLE_MARKETING_SENIOR
VAC_0012,ROLE_ENGINEERING_JUNIOR
VAC_0013,ROLE_PEOPLE_JUNIOR
VAC_0014,ROLE_PEOPLE_JUNIOR
VAC_0015,ROLE_PEOPLE_SPECIALIST
VAC_0016,ROLE_PEOPLE_JUNIOR
VAC_0017,ROLE_R&D_SPECIALIST
VAC_0018,ROLE_MARKETING_SPECIALIST
VAC_0019,ROLE_R&D_JUNIOR
VAC_0020,ROLE_R&D_SENIOR
VAC_0021,ROLE_FINANCE_SENIOR
VAC_0022,ROLE_RISK & COMPLIANCE_SPECIALIST
VAC_0023,ROLE_ENGINEERING_SPECIALIST
VAC_0024,ROLE_PEOPLE_JUNIOR
VAC_0025,ROLE_IT_JUNIOR
VAC_0026,ROLE_SALES_SPECIALIST
VAC_0027,ROLE_R&D_SPECIALIST
VAC_0028,ROLE_PEOPLE_SPECIALIST
VAC_0029,ROLE_PEOPLE_SENIOR
VAC_0030,ROLE_R&D_SENIOR
VAC_0031,ROLE_OPERATIONS_SENIOR
VAC_0032,ROLE_IT_SPECIALIST
VAC_0033,ROLE_OPERATIONS_JUNIOR
VAC_0034,ROLE_SALES_SENIOR
VAC_0035,ROLE_PEOPLE_SENIOR
VAC_0036,ROLE_OPERATIONS_SENIOR
VAC_0037,ROLE_ENGINEERING_JUNIOR
VAC_0038,ROLE_RISK & COMPLIANCE_SENIOR
VAC_0039,ROLE_RISK & COMPLIANCE_JUNIOR
VAC_0040,ROLE_FINANCE_JUNIOR
VAC_0041,ROLE_R&D_JUNIOR
VAC_0042,ROLE_R&D_JUNIOR
VAC_0043,ROLE_RISK & COMPLIANCE_SENIOR
VAC_0044,ROLE_SALES_SPECIALIST
VAC_0045,ROLE_IT_SENIOR
VAC_0046,ROLE_FINANCE_SENIOR
VAC_0047,ROLE_OPERATIONS_JUNIOR
VAC_0048,ROLE_PEOPLE_SPECIALIST
VAC_0049,ROLE_MARKETING_JUNIOR
VAC_0050,ROLE_SALES_JUNIOR
VAC_0051,ROLE_FINANCE_SENIOR
VAC_0052,ROLE_OPERATIONS_JUNIOR
VAC_0053,ROLE_SALES_SENIOR
VAC_0054,ROLE_ENGINEERING_SPECIALIST
VAC_0055,ROLE_ENGINEERING_JUNIOR
VAC_0056,ROLE_SALES_SPECIALIST
VAC_0057,ROLE_ENGINEERING_SENIOR
VAC_0058,ROLE_MARKETING_SENIOR
