Nome_Tabela,Nome_Coluna,Tipo_Dado,Chave,Referencia_Tabela_FK,Referencia_Coluna_FK,Descricao_Coluna,Dominio_Negocio
Cliente,ID_Cliente,INT,PK,,,"Identificador único do cliente",Cliente
Cliente,Nome_Cliente,VARCHAR(255),Null,,,"Nome completo do cliente",Cliente
Cliente,Email_Cliente,VARCHAR(255),NK,,,"Endereço de e-mail do cliente (único)",Cliente
Cliente,Data_Cadastro,DATE,Null,,,"Data em que o cliente foi cadastrado",Cliente
Endereco_Cliente,ID_Endereco,INT,PK,,,"Identificador único do endereço",Cliente
Endereco_Cliente,ID_Cliente,INT,FK,Cliente,ID_Cliente,"ID do cliente associado ao endereço",Cliente
Endereco_Cliente,Logradouro,VARCHAR(255),Null,,,"Rua, avenida, etc.",Cliente
Endereco_Cliente,Numero,VARCHAR(20),Null,,,"Número do endereço",Cliente
Endereco_Cliente,Complemento,VARCHAR(100),Null,,,"Complemento do endereço",Cliente
Endereco_Cliente,Bairro,VARCHAR(100),Null,,,"Bairro do endereço",Cliente
Endereco_Cliente,Cidade,VARCHAR(100),Null,,,"Cidade do endereço",Cliente
Endereco_Cliente,Estado,VARCHAR(100),Null,,,"Estado do endereço",Cliente
Endereco_Cliente,CEP,VARCHAR(10),Null,,,"Código de Endereçamento Postal",Cliente
Produto,ID_Produto,INT,PK,,,"Identificador único do produto (e.g., quadriciclo, mochila voadora)",Produto
Produto,Nome_Produto,VARCHAR(255),NK,,,"Nome comercial do produto",Produto
Produto,Descricao_Produto,TEXT,Null,,,"Descrição detalhada do produto",Produto
Produto,Preco_Unitario_Venda,DECIMAL(10.2),Null,,,"Preço de venda unitário do produto",Produto
Produto,ID_Categoria_Produto,INT,FK,Categoria_Produto,ID_Categoria_Produto,"ID da categoria a qual o produto pertence",Produto
Categoria_Produto,ID_Categoria_Produto,INT,PK,,,"Identificador único da categoria de produto",Produto
Categoria_Produto,Nome_Categoria,VARCHAR(100),NK,,,"Nome da categoria (e.g., Veículos, Acessórios, Equipamentos Voadores)",Produto
Pedido,ID_Pedido,INT,PK,,,"Identificador único do pedido de venda",Vendas
Pedido,ID_Cliente,INT,FK,Cliente,ID_Cliente,"ID do cliente que realizou o pedido",Vendas
Pedido,Data_Pedido,DATETIME,Null,,,"Data e hora em que o pedido foi feito",Vendas
Pedido,Status_Pedido,VARCHAR(50),Null,,,"Status atual do pedido (e.g., 'Pendente', 'Em Processamento', 'Enviado', 'Entregue')",Vendas
Item_Pedido,ID_Item_Pedido,INT,PK,,,"Identificador único do item dentro de um pedido",Vendas
Item_Pedido,ID_Pedido,INT,FK,Pedido,ID_Pedido,"ID do pedido ao qual o item pertence",Vendas
